Name,Brand,cluster,Notes
La Couche du Diable,Serge Lutens,4,"['Oud accord', 'cistus jam', 'fruity complex', 'rose']"
Baikal Leather Intense,PARFUMS DE NICOLAI,3,"['Yuzu', 'pepper', 'saffron', 'leather', 'birch', 'violet', 'rose', 'iris butter', 'gaiac', 'sandalwood', 'vetiver', 'tonka bean', 'musk']"
Fucking Fabulous Travel Atomizer,TOM FORD Private Blend,0,"['Lavender', 'clary sage', 'bitter almond', 'tonka bean', 'orris root', 'leather', 'cashmeran', 'amber', 'white woods Click Here For Ingredients Ã\x97Close Fucking Fabulous Travel Atomizer by TOM FORD Private Blend Ingredients Please be aware that ingredient lists may change or vary from time to time.  Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.']"
Corpi Caldi,Profumi del Forte,2,"['Gardenia leaf', 'plum', 'grapefruit', 'mint', 'ylang ylang', 'orange blossom', 'rose', 'iris', 'patchouli', 'vanilla', 'oakmoss', 'white musks', 'ambergris', 'heliotrope']"
Elae,Cire Trudon,2,"['African neroli', 'Ylang-Ylang', 'Egyptian jasmine']"
Squid,Zoologist,3,"['Pink Pepper', 'Solar Salicylate', 'Incense', 'Black Ink Accord', 'Salty Accord', 'Opoponax', 'Ambergris', 'Benzoin', 'Musk']"
Sir Winston,Bortnikoff,5,"['Green Tea', 'Tuberose', 'Ambergris', 'Tobacco Absolute', 'Vanilla', 'Indonesian Bouya (oud)']"
Symphonie de Neroli,Bortnikoff,3,"['Bergamot', 'Lemon', 'Lime', 'Clementine', 'Neroli', 'Jasmine Sambac', 'Vetiver from Java', 'Vetiver from India (Ruh Khas)', 'Ambergis', 'Oakmoss', 'Virginian Cedar', 'Oud from Trat', 'Peru Balsam', 'Tolu Balsam']"
Zemfira,Bortnikoff,4,"['Bergamot', 'Pink Pepper', 'Rose de Mai', 'Hybrid Tea Rose', 'Atlas Cedar', 'Bengalian Sandalwood', 'Vietnamese Oud']"
Los Angeles,Gallivant,3,"['Eucalyptus', 'clary sage', 'mandarin', 'pineapple', 'tuberose', 'narcissus', 'cade', 'gaiac', 'nagarmotha', 'musk', 'heliotrope']"
Keep Glazed,The House Of Oud,5,"['Frozen lemon', 'mango', 'strawberry leaf', 'chantilly cream', 'grated coconut', 'ginger crumble', 'fruity musk', 'precious woods']"
Ristretto Intense Cafe,Montale,5,"['Italian black coffee', 'rose water', 'rosebud', 'roasted coffee beans', 'dry wood', 'vanilla', 'white musk', 'sweet toffee', 'amber']"
Instant Crush,Mancera,5,"['Bergamot', 'mandarin', 'saffron', 'ginger', 'rose', 'jasmine', 'amber woods', 'patchouli', 'sandalwood', 'vanilla', 'oakmoss', 'white musk']"
Labyrinth Of Spices,Alghabra Parfums,3,"['Turkish coffee', 'pineapple', 'galbanum', 'tobacco', 'clove', 'cinnamon', 'nutmeg', 'anise', 'lavender', 'tonka', 'cardamom', 'amber', 'sandalwood', 'cedar', 'vetiver', 'oakmoss', 'woody musk']"
Ottoman Treasure,Alghabra Parfums,3,"['White oud', 'cistus labdanum', 'patchouli', 'olibanum', 'pink pepper', 'gurjun balsam', 'amber', 'moss', 'vetiver']"
Royal Sapphire,Thameen,3,"['Bergamot', 'mandarin', 'orange blossom', 'jasmine', 'ambergris', 'patchouli', 'moss', 'amber', 'dry wood']"
Kintsugi,Masque Milano,3,"['Bergamot', 'magnolia', 'amber', 'suede', 'rose', 'violet leaf', 'benzoin', 'raspberry leaf', 'patchouli', 'vanilla']"
Osmanthus,Ormonde Jayne,1,"['Pomelo', 'davana', 'pimento', 'osmanthus', 'water lily', 'jasmine', 'cedar', 'labdanum', 'musk', 'vetiver']"
Isfarkand,Ormonde Jayne,3,"['Lime', 'mandarin', 'bergamot', 'iso-e super', 'cedar', 'vetiver', 'moss']"
Ta'if,Ormonde Jayne,1,"['Pink pepper', 'saffron', 'dates', 'rose', 'freesia', 'orange blossom', 'jasmine', 'broom', 'amber', 'oudh']"
Royal,Ormonde Jayne,5,"['Green notes', 'orange', 'bergamot', 'jasmine', 'rose', 'amber', 'cedar', 'ambroxan', 'tonka', 'patchouli', 'musk']"
Ormonde,Ormonde Jayne,3,"['Cardamom', 'coriander', 'grass oil', 'black hemlock', 'violet', 'jasmine', 'cedar', 'amber', 'sandalwood', 'oudh']"
Tuscan,TOM FORD Private Blend,0,"['Leather', 'olibanum', 'night blooming jasmine', 'black suede Click Here For Ingredients Ã\x97Close Tuscan Leather Travel Atomizer by TOM FORD Private Blend Ingredients Please be aware that ingredient lists may change or vary from time to time.  Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.']"
Noir de,TOM FORD Private Blend,0,"['Saffron', 'truffle', 'rose', 'patchouli', 'tree moss', 'oud', 'vanilla Click Here For Ingredients Ã\x97Close Noir de Noir Travel Atomizer by TOM FORD Private Blend Ingredients Please be aware that ingredient lists may change or vary from time to time.  Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.']"
Cairo,Penhaligons,5,"['Rose', 'saffron', 'labdanum', 'cypriol', 'vanilla', 'patchouli', 'sandalwood', 'cedar']"
Neroli Intense,PARFUMS DE NICOLAI,1,"['Neroli', 'mandarin', 'orange', 'tarragon', 'pittosporum', 'petitgrain', 'patchouli', 'musk', 'beeswax']"
Brume du Matin,Fragrance du Bois,1,"['Mandarin', 'bergamot', 'peach', 'plum', 'rose', 'violet', 'jasmine', 'peony', 'amber', 'woods', 'white musk.']"
Cuir de Chine,Les Indemodables,3,"['Chinese osmanthus absolute 1%', 'Chinese osmanthus\x93alcoolat\x94\x9d Grand Cru 10%', 'Turkish\x93tabac blond\x94\x9d absolute .2%', 'Alpine clary sage']"
Rose Millesimee,Jovoy Paris,1,"['Clove', 'candied apple', 'Centifolia rose', 'white musks', 'Bulgarian rose']"
Delina,Parfums de Marly,1,"['Bergamot', 'lychee', 'rhubarb', 'nutmeg', 'Turkish rose', 'vanilla', 'musk', 'Haitian vetiver', 'cedar', 'frankincense', 'cashmeran']"
Cuoio Dei Dolci,La Via Del Profumo,2,"['Castoreum', 'tonka', 'tobacco', 'cocoa', 'mandarin', 'mysore sandalwood', 'ylang ylang', 'vanilla.']"
Notorious Oud,D.S. and Durga,4,"['Saffron', 'camphor', 'white galbanum', 'oud', 'rose', 'lavender', 'civet', 'cetalox', 'papyrus']"
Metallique,TOM FORD Signature,0,"['Bergamote', 'Pink peppercorn', 'Aubepine', 'Muguet', 'Nectar of Heliotrope', 'Vanilla', 'Sandalwood']"
Fougere Emeraude,Les Indemodables,3,"['Indian Tuberose', 'French lavender Grand Cru', 'Venezuelan tonka absolute', 'Moroccan Mimosa absolute Grand Cru', 'Alpine clary sage']"
Gentle fluidity Silver,Maison Francis Kurkdjian,3,"['Juniper', 'nutmeg', 'coriander', 'musk', 'amber', 'woods', 'vanilla']"
gentle Fluidity Gold,Maison Francis Kurkdjian,5,"['Juniper', 'nutmeg', 'coriander', 'musk', 'amber', 'woods', 'vanilla']"
Oriental Velours,Les Indemodables,3,"['Indian jasmine alcoolat \x93Grand Cru\x94\x9d 5%', 'Madagascan vanilla \x93Grand Cru\x94\x9d 2.5%', 'Somalian myrrh 15%', 'Haitian vetiver\x93Grand Cru\x94\x9d 10%', 'Alpine spruce oil']"
Musk Cologne,Bortnikoff,2,"['Bergamot', 'lemon', 'tangerine', 'sweet orange', 'green tea', 'lily of the valley', 'magnolia', 'tuberose', 'ylang ylang', 'deer musk', 'sandalwood', 'gaiac']"
Mandarino di Sicilia,Perris Monte Carlo,3,"['Green mandarin', 'bitter orange', 'yellow mandarin', 'petitgrain', 'Jasmin', 'geranium', 'orange blossom', 'cedar', 'amber', 'musk']"
Bergamotto di Calabria,Perris Monte Carlo,1,"['Bergamot', 'petitgrain', 'timur pepper', 'pink pepper', 'orange flower', 'neroli', 'orange blossom', 'jasmine', 'iris', 'sandalwood', 'vetiver', 'musk']"
Arancia di Sicilia,Perris Monte Carlo,5,"['Blood orange (brown extraction & sfuma torchio extraction)', 'almond', 'cinnamon', 'labdanum', 'coffee', 'iris', 'musk', 'amber']"
Soleil d'Italie,Mancera,3,"['Pink pepper', 'cardamom', 'bergamot', 'bitter orange', 'mandarin', 'lime', 'aquatic notes', 'patchouli', 'rose', 'vetiver', 'cedar', 'ambergris', 'white musk', 'gaiac']"
Safran Colognise,Nishane,3,"['Cedrat', 'passion fruit', 'pink grapefruit', 'saffron', 'magnolia', 'pink pepper', 'musk', 'ambergris', 'leather']"
Le Chant de Camargue,L'Artisan Parfumeur,1,"['Bergamot', 'Carmargue rice', 'sandalwood milk']"
Petales de Cashmere,Fragrance du Bois,1,"['Mandarin', 'grapefruit', 'jasmine', 'rose', 'violet', 'saffron', 'caraway', 'musk', 'olibanum', 'sandalwood']"
Tuscan Leather Intense,TOM FORD Private Blend,0,"['Saffron', 'raspberry', 'thyme', 'davana', 'olibanum', 'woodsy notes', 'leather', 'suede', 'animalic notes', 'amber Click Here For Ingredients Ã\x97Close Tuscan Leather Intense by TOM FORD Private Blend Ingredients Please be aware that ingredient lists may change or vary from time to time.  Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.']"
A Man's Cologne,Gravel,3,"['Bergamot', 'orange', 'patchouli', 'tonka bean', 'benzoin', 'incense', 'vetiver', 'musk']"
Villa Nellcote,19-69,3,"['Grapefruit', 'bergamot', 'petitgrain', 'pink pepper', 'elemi', 'lemon', 'lemon flower', 'violet', 'rose', 'jasmine', 'magnolia', 'osmanthus', 'black tea', 'cabreuva', 'cedar', 'patchouli', 'white amber', 'musk', 'moss', 'gaiac']"
Portrayal Man,Amouage,3,"['Violet Leaves', 'Vetiver', 'Cade']"
Portrayal,Amouage,5,"['Jasmine', 'Vanilla', 'Tabacco', 'Tuberose']"
Humus,Mad et Len,3,"['Violet', 'oakmoss', 'mushroom', 'pebbles', 'pine tree', 'vetiver']"
Musc des Sables,Les Indemodables,3,"['Italian green mandarin', 'Indonesian patchouli Grand Cru', 'Ambergris tincture', 'Orris absolute Grand Cru', 'Benzoin', 'cardamom', 'cinnamon', 'musk']"
Iris Perle,Les Indemodables,2,"['French orris absolute grand cru', 'Morrocan mimosa absolute', 'Indian jasmine absolute', 'Madagascan ylang-ylang', 'Clary sage from the Alps']"
Rose de Jamal,Les Indemodables,1,"['Moroccan damascene rose absolute', 'Moroccan cedarwood', 'Madagascan pink pepper C02', 'Morocan Naneh mint', 'lavender']"
Pineapple Essenza,Panah London,3,"['Pineapple', 'Sicilian lemon', 'blackcurrant', 'lily', 'tonka', 'patchouli', 'vanilla', 'white musk']"
Brandied Pear,Panah London,5,"['Lemon', 'banana', 'pear', 'green leaves', 'vanilla', 'musk']"
Nefs,Nishane,5,"['Honey', 'violet', 'sage', 'saffron', 'fig', 'rose', 'osmanthus', 'geranium', 'jasmine', 'nutmeg', 'amber', 'whiskey', 'oud', 'cinnamon', 'cedar', 'gurjam balsam', 'leather', 'vanilla']"
Megamare,Orto Parisi,3,"['Spicy', 'Sweet', 'Sparkling Musk', 'Oceany']"
Mahabah,ANFAS,2,"['petitgrain', 'rose', 'jasmine', 'ylang-ylang', 'tonka bean', 'vanilla']"
Shaghaf,ANFAS,4,"['cardamom', 'ginger', 'citruses', 'leather', 'tobacco', 'cedar', 'cashmeran', 'patchouli', 'agarwood (oud)', 'amber', 'vanilla', 'tolu balsam', 'opoponax']"
Red Ishq,ANFAS,3,"['jasmine', 'saffron', 'raspberry', 'amber', 'oakmoss', 'talc']"
Green Gaya,ANFAS,5,"['Anise', 'cardamom', 'mango', 'pear', 'cedar', 'milk', 'liquorice', 'oud', 'amber', 'wood', 'iris']"
Purple,ANFAS,5,"['Bergamot', 'cardamom', 'lemon', 'orange', 'amber', 'coffee', 'cumin', 'musk', 'patchouli', 'vanilla']"
Gold Watan,ANFAS,4,"['Cistus', 'oud', 'nagarmotha', 'floral notes', 'musk', 'sugar']"
Rahaba,ANFAS,3,"['orange', 'gin', 'pineapple', 'Damask rose', 'Grasse rose', 'orris', 'tonka bean', 'sandalwood', 'vanilla', 'amber', 'almond', 'tolu balsam']"
Samaha,ANFAS,1,"['citruses', 'sea notes', 'jasmine', 'neroli', 'rosebay willowherb', 'rose', 'cedar', 'musk']"
Sa'adah,ANFAS,2,"['orange', 'rose', 'pine', 'neroli', 'violet', 'cedar', 'ylang-ylang', 'sandalwood', 'vanilla', 'tonka bean']"
Velvet,Goldfield & Banks,3,"['Mandarin', 'hedione', 'mimosa absolute (South Australia)', 'orange blossom', 'jasmin sambac', 'Australian sandalwood', 'patchouli', 'Haitian vetiver', 'leather', 'tonka', 'oppoponax', 'heliotropine']"
Papyrus Oud,Parle Moi de Parfum,4,"['Papyrus', 'Incense', 'Patchouli', 'Oud', 'Musk', 'Chocolate', 'Ginger']"
Gardens of India,Parle Moi de Parfum,1,"['Jasmine', 'tuberose', 'sandalwood']"
Blackpepper,Comme des Garcons,3,"['Black pepper', 'cedar', 'patchouli', 'agarwood (oud)', 'tonka bean', 'musk']"
Gosha Rubchinskiy,Comme des Garcons,3,"['Angelica root', 'buchu', 'mandarin seed', 'blue chamomile', 'styrax', 'Haitian vetiver', 'patchouli']"
Concrete,Comme des Garcons,3,unknown
Andy Warhol's You're In,Comme des Garcons,3,"['Bitter orange', 'aldehydes', 'makrut lime zest', 'jasmine', 'coriander leaf', 'pittosporum', 'cashmere wood', 'musk', 'metallic amber']"
Escentric 01,Escentric Molecules,3,unknown
2,Comme des Garcons,3,"['Japanese Sumi ink', 'incense', 'patchouli', 'cedarwood', 'angelica root', 'vetiver', 'magnolia', 'amber', 'labdanum', 'new aldehydes', 'cumin', 'cade oil', 'absolute matÃ©', 'abslolute folia']"
Odeur 53,Comme des Garcons,3,"['oxygen', 'flash of metal', 'fire energy', 'washing drying in the wind', 'mineral carbon', 'sand dunes', 'nail polish', 'cellulose', 'pure air of the high mountains', 'ultimate fusion', 'burnt rubber', 'flaming rock']"
Odeur 71,Comme des Garcons,3,"['incense', 'wood', 'moss', 'willow', 'elm', 'bay leaves', 'bamboo', 'hyacinth']"
2,Comme des Garcons,3,"['Japanese Sumi ink', 'incense', 'patchouli', 'cedarwood', 'angelica root', 'vetiver', 'magnolia', 'amber', 'labdanum', 'new aldehydes', 'cumin', 'cade oil', 'absolute matÃ©', 'abslolute folia']"
White,Comme des Garcons,1,"['spices', 'lily of the valley', 'may rose', 'pomegranate', 'vanilla', 'cedarwood', 'amber']"
2 MAN,Comme des Garcons,3,"['incense', 'white smoke', 'saffron flowers', 'nutmeg', 'vetiver roots', 'mahogany', 'leather']"
Original,Comme des Garcons,3,"['labdanum', 'cedarwood', 'cardamom', 'cinnamon', 'rose', 'black pepper', 'honey', 'clove', 'nutmeg', 'sandalwood']"
3,Comme des Garcons,3,"['Basil', 'mandarin', 'black currant', 'magnolia', 'everlasting flower', 'angelica', 'Lebanese cedar', 'birch essence', 'sandalwood.']"
Wonderwood,Comme des Garcons,3,"['Madagascan pepper', 'bergamot', 'Somalian incense', 'nutmeg', 'Cristalon', 'Cashmeran', 'guaiac wood', 'cedarwood', 'caraway seeds', 'Javanol', 'sandalwood', 'vetiver', 'oud']"
Amazingreen,Comme des Garcons,3,"['Palm tree leaves', 'green pepper', 'dew mist', 'jungle leaves', 'Ivy leaves', 'orris roots', 'coriander seeds', 'silex', 'Gunpowder accord', 'vetiver', 'smoke', 'white musk']"
Black,Comme des Garcons,3,"['Cedarwood', 'vetiver', 'leather', 'liquorice', 'birch tar', 'pepperwood', 'black pepper', 'incense']"
Wonderoud,Comme des Garcons,4,"['Texas Cedarwood Fraction OrPur', 'Oud Wood', 'Indonesian Patchouli', 'Australian Sandalwood', 'Haitian Vetiver', 'Guaiac Wood', 'Pashminol']"
Serpentine,Comme des Garcons,3,"['Grass', 'leaves', 'pollen (galbanum', 'iris leaf)', 'oxygen (aldehyde', 'ozone)', 'asphalt (black musk', 'nutmeg)', 'labdanum', 'smoked cedar with a little bit of pollution (benzoin', 'juniper wood', 'guaiac wood)']"
Floriental,Comme des Garcons,3,"['Pink pepper', 'plum', 'incense', 'labdanum', 'sandalwood', 'vetiver']"
Dot,Comme des Garcons,3,"['Osmanthus', 'fruits', 'green notes', 'amberwood', 'olibanum', 'pepper', 'bitter orange']"
Grace by Grace Coddington,Comme des Garcons,1,"['Bergamot', 'mint', 'basil', 'cardamom', 'pink peppercorn', 'rose', 'freesia', 'peach blossom', 'vetiver', 'cashmere woods', 'white musk', 'amber']"
Muskane,Nishane,5,"['Raspberry', 'rose', 'violet', 'amber', 'musk', 'vanilla']"
Florane,Nishane,5,"['Grapefruit', 'cassis', 'violet', 'muguet', 'jasmine', 'amber', 'hinoki', 'musk', 'vanilla']"
Lustre,Hiram Green Perfumes,1,"['Bulgarian rose', 'citrus', 'orris', 'olibanum']"
L'Eau,Reims Parfums,3,"['Petitgrain', 'neroli', 'incense', 'geranium', 'oakmoss']"
Haute Provence,PARFUMS DE NICOLAI,3,"['Petitgrain', 'bergamot', 'lavender', 'iris', 'musk', 'cedar']"
Hossegor,A Lab on Fire,3,"['Juniper', 'mastic', 'black pepper', 'sea salt', 'clary sage', 'orris root', 'olibanum', 'solar accord', 'ambergris', 'vetiver', 'mineral musks', 'wet woods', 'ambrox', 'sea moss']"
Ani,Nishane,3,"['Bergamot', 'green notes', 'blue ginger', 'pink pepper', 'blackcurrant', 'Turkish rose', 'cardamom', 'patchouli', 'cedarwood', 'vanilla', 'benzoin', 'ambergris', 'musk', 'sandalwood']"
Unutamam,Nishane,3,"['lavender', 'rosemary', 'mint', 'juniper', 'jasmine', 'carnation', 'patchouli', 'amber', 'oregano', 'castoreum', 'cistus', 'oakmoss', 'caramel']"
Milano Cento For Him,Milano Cento,3,"['Lemon', 'bergamot', 'petitgrain', 'lavender', 'rosemary', 'basil', 'clary sage', 'sandalwood', 'patchouli', 'clove', 'cinnamon', 'amber', 'musk']"
Douce Amere,Serge Lutens,3,"['Absinthe (Artemisia absinthum)', 'cinnamon', 'anise', 'lily', 'jasmine', 'tiare', 'tagette', 'marigold', 'musk', 'cedar']"
Rahat Loukhoum,Serge Lutens,5,"['Aldehydes', 'almond', 'cherry', 'hawthorn', 'rose', 'heliotrope', 'white honey', 'vanilla', 'tonka bean', 'balsam', 'musk']"
Iris Silver Mist,Serge Lutens,1,"['Orris root', 'galbanum', 'sandalwood', 'cedar', 'clove', 'vetiver', 'musk', 'benzoin', 'incense', 'white amber']"
Bois Et Musc,Serge Lutens,3,"['Atlas cedarwood', 'beeswax', 'saffron', 'musk']"
Sarrasins,Serge Lutens,1,"['bergamot', 'labdanum', 'carnation', 'osmanthus', 'jasmine', 'patchouli', 'castoreum']"
Vanilla Vibes,Juliette Has a Gun,5,"['Fleur de sel', 'vanilla absolute', 'orchid', 'sandalwood', 'tonka bean', 'brown musk', 'benzoin']"
Winter Palace,MEMO,3,"['Grapefruit', 'bergamot', 'lemon', 'mate', 'gurjum balsam', 'amber wood', 'tolu', 'benzoin', 'labdanum', 'red tea', 'tonka', 'styrax', 'vanilla', 'musk']"
White Peaches,Shay & Blue,1,"['White peach', 'narcissus', 'elderflower granita', 'silver birch']"
Sundazed,BYREDO,1,"['Mandarin', 'lemon', 'neroli', 'jasmine sambac', 'cotton candy', 'skin musk']"
Eau de Minthe,Diptyque,3,"['Mint', 'geranium', 'patchouli', 'rose oxide']"
Splendiris,Dusita,1,"['Bergamot', 'mandarin', 'orange', 'violet leaf', 'fig leaf', 'carrot seed', 'sweet orris butter', 'iris', 'violet', 'rose de mai', 'jasmine sambac', 'vanilla', 'vetiver', 'cedar', 'ambergris']"
Rose Of No Man's,BYREDO,1,"['Pink pepper', 'Turkish rose petals', 'raspberry blossom', 'Turkish rose absolute', 'papyrus', 'white amber']"
Malt,Akro,3,"['Whiskey', 'Rum', 'Leather', 'Seaweed', 'Patchouli.']"
Dark,Akro,5,"['Cocoa', 'Dark Chocolate', 'Cinnamon', 'Hazelnut', 'Vanilla']"
Night,Akro,1,"['Bulgarian Rose', 'Cumin', 'Saffron', 'Agaroud']"
Smoke,Akro,5,"['Balkans Tobacco Leaves', 'Nicotine', 'Cade', 'Benjoin', 'Tonka Bean']"
Haze,Akro,3,"['Absinthe', 'Armoise', 'Eucalyptus', 'Spearmint', 'Clary Sage']"
Molecule 02,Escentric Molecules,3,unknown
Escentric 02,Escentric Molecules,3,unknown
Lavender Extreme,TOM FORD Private Blend,0,"['Lemon', 'violet', 'lavender', 'geranium', 'rose', 'cinnamon', 'tonka Click Here For Ingredients Ã\x97Close Lavender Extreme by TOM FORD Private Blend Ingredients Please be aware that ingredient lists may change or vary from time to time.  Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.']"
Bana Banana,L'Artisan Parfumeur,3,"['Pepper', 'nutmeg', 'violet', 'jasmine', 'iris', 'banana', 'banana flower', 'tonka', 'musk', 'amber']"
Easy To Love,Eau d'Italie,1,"['White currant', 'fig', 'white peony', 'honey', 'tonka', 'ambrette']"
Cassili,Parfums de Marly,5,"['Red currant', 'rose', 'white flowers', 'plum', 'mimosa', 'plumeria', 'petalia', 'sandalwood', 'tonka', 'vanilla']"
Ganymede,Marc-Antoine Barrois,3,"['Mandarin', 'saffron', 'violet', 'osmanthus absolute', 'akigalawood', 'Immortelle absolute']"
No. 1 Tonic Blanc,Thomas Kosmala,1,"['bergamot', 'mandarin', 'orange', 'neroli', 'orange flower blossom', 'bergamot flower blossom', 'mock orange flower', 'oakmoss', 'sandalwood', 'cedarwood', 'musk']"
No. 2 Seve Nouvelle,Thomas Kosmala,3,"['grapefruit', 'pink pepper', 'saffron', 'champaca', 'tonka bean', 'water pepper', 'patchouli', 'raspberry', 'cashmeran', 'amberwood', 'labdanum']"
No. 3 Crepuscule Ardent,Thomas Kosmala,3,"['saffron', 'olibanum', 'jasmine', 'leather', 'suede', 'amber']"
No. 4 Apres l'Amour,Thomas Kosmala,3,"['bitter orange', 'lemon zest', 'aromatic notes', 'fresh spice', 'dry wood', 'amber', 'musk']"
No. 5 Frenesie,Thomas Kosmala,4,"['saffron', 'bergamot', 'magnolia', 'rose', 'peony', 'osmanthus', 'gardenia', 'oud', 'amber', 'incense', 'musk']"
No. 6 Brume Radieuse,Thomas Kosmala,4,"['blackcurrant', 'peach', 'rose', 'coconut', 'jasmine', 'oud', 'patchouli', 'amber']"
No. 7 Le Sel de la Terre,Thomas Kosmala,1,"['bergamot', 'Italian lemon', 'fresh marine notes', 'aqua', 'fresh floral', 'fresh wood', 'musk']"
No. 8 Tonic Vert,Thomas Kosmala,3,"['bergamot', 'lemon', 'mandarin', 'lime', 'mint', 'geranium', 'pomelo', 'vetiver', 'musk', 'oakmoss']"
No. 9 Bukhoor,Thomas Kosmala,3,"['woody accords', 'smoky accords', 'agarwood', 'amber', 'musk']"
Beaute du Diable,Liquides Imaginaires,2,"['Lemon', 'coriander', 'bitter orange', 'gin accord', 'absinthe', 'clove', 'cypress', 'geranium', 'ylang ylang', 'carnation', 'vetiver', 'gaiac', 'cistus', 'cobblestone accord']"
Oud Monarch,Bortnikoff,4,"['Magnolia', 'Frangipani', 'Rose de Mai', 'Himalayan Rose', 'Cinnamon', 'Tobacco', 'Oud Merauke', 'Oud co Chang (Feel-oud)', 'Cacao', 'Civet', 'Castoreum', 'Labdanum', 'Vanilla']"
Amber Cologne,Bortnikoff,3,"['Bergamot', 'Lemon', 'White and Pink Grapefruit', 'Sweet Orange', 'Cardamom', 'Frangipani', 'Jasmine Sambac', 'Virginia Cedarwood', 'Sandalwood', 'Grey and Brown Ambergris', 'Oud from Sri Lanka', 'Bouya Oud', 'Vanilla']"
Musk Khabib,Bortnikoff,2,"['Bergamot', 'Cardamom', 'Nutmeg', 'Ylang-Ylang', 'Cedarwood', 'Tolu Balsam', 'Ambergris', 'Deer Musk', 'Oakmoss', 'Vetiver', 'Tonka Bean', 'Vanilla']"
Sensual Instinct,Montale,5,"['Bergamot', 'mandarin', 'cardamom', 'saffron', 'whisky', 'amberwood', 'jasmine', 'rose', 'tiramisu', 'patchouli leaves', 'cacao', 'coffee', 'vanilla', 'oakmoss', 'cedarwood', 'white musk']"
Vetiver Patchouli,Montale,3,"['Bergamot', 'mandarin', 'pink pepper', 'carrot', 'jasmine', 'patchouli', 'vetiver', 'white musk']"
Oud Dream,Montale,4,"['Bergamot', 'cardamom', 'coriander', 'black pepper', 'sweet honey', 'rose', 'oud', 'patchouli', 'cedar', 'leather', 'amber', 'musk']"
Holy Water,La Via Del Profumo,3,"['frankincense', 'sandalwood', 'orange', 'orange blossom', 'rose']"
Mecca Balsam,La Via Del Profumo,5,"['Indian tuberose', 'tobacco', 'rose', 'benzoin', 'agarwood', 'incense', 'labdanum', 'tonka bean']"
Milano Caffe,La Via Del Profumo,5,"['coffee', 'cappuccino', 'chocolate', 'iris', 'woody notes', 'spicy notes', 'opoponax', 'tonka bean', 'amber']"
Oakmoss,La Via Del Profumo,3,"['vetiver', 'sandalwood', 'oakmoss']"
Oud Caravan No. 1,La Via Del Profumo,4,"['natural aged oud oil', 'camphor', 'patchouli']"
Oud Caravan No. 2,La Via Del Profumo,4,"['natural aged', 'wild Bengali oud oil', 'white flowers', 'Laotian oud oil']"
Oud Caravan No. 3,La Via Del Profumo,4,"['Natural aged wild Bengali oud oil', 'dates', 'labdanum']"
Amber Chocolate,La Via Del Profumo,5,"['chocolate', 'tonka bean', 'vanilla']"
Hindu Kush,La Via Del Profumo,3,"['spice', 'woody notes', 'incense', 'ginger', 'caraway', 'nutmeg', 'pepper']"
Aenotus,Puredistance,3,"['Orange', 'mandarin', 'lemon', 'yuzu', 'mint', 'blackcurrant bud', 'petitgrain', 'oakmoss', 'patchouli', 'musks']"
Tabac,La Via Del Profumo,5,"['tobacco', 'vanilla', 'tonka bean', 'labdanum', 'spicy notes', 'resins']"
Molecule 03,Escentric Molecules,3,unknown
Escentric 03,Escentric Molecules,3,unknown
Isle of Man,Frapin,3,"['Grapefruit', 'bitter orange', 'basil', 'salt accord', 'freesia', 'violet', 'ironwood', 'vetiver', 'musk']"
Desert Suave,Liquides Imaginaires,3,"['Cardamom', 'mandarin', 'orange blossom', 'rose', 'date', 'sesame', 'cedar']"
Functional,The Nue Co.,3,"['Green cardamom', 'iris', 'cilantro', 'palo santo']"
Lust In Paradise,Ex Nihilo,1,"['Pink pepper', 'white peony', 'lychee', 'white cedar', 'musk', 'amber']"
Hisui (Jade),J-Scent,2,"['Bergamot', 'Lemon', 'Mandarin', 'Cassis', 'Tuberose', 'Jasmine', 'Muguet', 'Ylang Ylang', 'Orange Flower', 'Musk', 'Amber', 'Sandalwood', 'Patchouli', 'Oakmoss']"
Shaft of Light,J-Scent,1,"['Bergamot', 'Lemon', 'Grapefruit', 'Orange Flower', 'Rose', 'Jasmine', 'Muguet', 'Lily', 'Magnolia', 'Gardenia', 'Musk', 'Amber', 'Sandalwood', 'Patchouli', 'Vanilla', 'Oakmoss']"
Usubeni (Rosy Cheeks),J-Scent,2,"['Mandarin', 'Leaf Green', 'Apricot', 'Ylang Ylang', 'Lily', 'Carnation', 'Gardenia', 'Orange Flower', 'Osmanthus', 'Jasmine', 'Musk', 'Sadalwood', 'Peach']"
Black Leather,J-Scent,3,"['Leather', 'Bergamot', 'Tobacco', 'Jasmine', 'Oakmoss', 'Amber', 'Musk', 'Vanilla']"
Yuzu,J-Scent,3,"['Lemon', 'Bergamot', 'Orange', 'Thyme', 'Grapefruit', 'Lime', 'Yuzu', 'Rose', 'Mandarin']"
Sumo Wrestler,J-Scent,3,"['Orange', 'Eucalyptus', 'Anise', 'Cinnamon', 'Heliotrope', 'Violet', 'Orange Flower', 'Labdanum', 'Sandalwood', 'Patchouli', 'Jasmine']"
